source_path,source_file_type,experiment_id,experiment_name,status,metrics_or_artifacts_found,rows_emitted,extraction_method,confidence,split_status,leakage_risk,duplicate_group,notes
/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/baseline/visualization_plots/04_training_history.png,image,EXP-001,Baseline FFT magnitude image translation,image_only_needs_manual_read,image_only_training_history,1,image_metadata_no_ocr,needs_manual_read,split_unknown,leakage_risk_unknown,,training history
/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/改进memo.md,memo_claims_csv,EXP-001,Baseline FFT magnitude image translation,memo_claim_qualitative_only,结果很差,0,memo_claims_csv_regex,medium,split_unknown,leakage_risk_unknown,,claim_id=memo-01; section=Baseline
/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/log_label/output/image_translation/array_03/logs/train/events.out.tfevents.1758164276.ubuntusrv.24064.0.v2,tensorboard_event_unparsed,EXP-002,FFT log-label image translation,tensorboard_event_unparsed_local_tensorboard_missing,scalar_metrics_possible,0,metadata_only_no_tensorboard_import,unknown,split_unknown,leakage_risk_unknown,,No tensorboard package in local Python; do not infer scalar values from event files
/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/log_label/output/image_translation/array_03/logs/training_history.pkl,pickle_training_history,EXP-002,FFT log-label image translation,metrics_extracted,"loss,mae,val_loss,val_mae,lr",9,pickle_load_fake_numpy,strong,split_unknown,leakage_risk_unknown,0297bcddfc8f7d96,
/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/log_label/output/image_translation/array_03/logs/validation/events.out.tfevents.1758164306.ubuntusrv.24064.1.v2,tensorboard_event_unparsed,EXP-002,FFT log-label image translation,tensorboard_event_unparsed_local_tensorboard_missing,scalar_metrics_possible,0,metadata_only_no_tensorboard_import,unknown,split_unknown,leakage_risk_unknown,,No tensorboard package in local Python; do not infer scalar values from event files
/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/log_label/output/visualization_plots/04_training_history.png,image,EXP-002,FFT log-label image translation,image_only_needs_manual_read,image_only_training_history,1,image_metadata_no_ocr,needs_manual_read,split_unknown,leakage_risk_unknown,,training history
/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/改进memo.md,memo_claims_csv,EXP-002,FFT log-label image translation,memo_claim_no_metric,,0,memo_claims_csv_regex,medium,split_unknown,leakage_risk_unknown,,claim_id=memo-02; section=1. 对数变换标签
/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/frequency-weighted_loss/output/image_translation/array_03/logs/train/events.out.tfevents.1758606614.ubuntusrv.23174.0.v2,tensorboard_event_unparsed,EXP-003,FFT high-frequency weighted loss,tensorboard_event_unparsed_local_tensorboard_missing,scalar_metrics_possible,0,metadata_only_no_tensorboard_import,unknown,split_unknown,leakage_risk_unknown,,No tensorboard package in local Python; do not infer scalar values from event files
/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/frequency-weighted_loss/output/image_translation/array_03/logs/training_history.pkl,pickle_training_history,EXP-003,FFT high-frequency weighted loss,metrics_extracted,"loss,mae,val_loss,val_mae,lr",9,pickle_load_fake_numpy,strong,split_unknown,leakage_risk_unknown,8bc8fee03173b165,
/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/frequency-weighted_loss/output/image_translation/array_03/logs/validation/events.out.tfevents.1758606635.ubuntusrv.23174.1.v2,tensorboard_event_unparsed,EXP-003,FFT high-frequency weighted loss,tensorboard_event_unparsed_local_tensorboard_missing,scalar_metrics_possible,0,metadata_only_no_tensorboard_import,unknown,split_unknown,leakage_risk_unknown,,No tensorboard package in local Python; do not infer scalar values from event files
